name,peak_no,peak_values,Time
ATLAS,p8,175,3/2/2022 19:30
ATLAS,p9,175,3/2/2022 19:45
ENGRO,p1,0,3/2/2022 17:15
ENGRO,p2,0,3/2/2022 17:30
ENGRO,p3,0,3/2/2022 17:45
ENGRO,p4,0,3/2/2022 18:15
ENGRO,p5,0,3/2/2022 18:30
ENGRO,p6,0,3/2/2022 18:45
ENGRO,p7,0,3/2/2022 19:15
ENGRO,p8,0,3/2/2022 19:30
ENGRO,p9,0,3/2/2022 19:45
SAIF,p1,0,3/2/2022 17:15
SAIF,p2,0,3/2/2022 17:30
SAIF,p3,0,3/2/2022 17:45
SAIF,p4,0,3/2/2022 18:15
SAIF,p5,0,3/2/2022 18:30
SAIF,p6,0,3/2/2022 18:45
SAIF,p7,0,3/2/2022 19:15
SAIF,p8,0,3/2/2022 19:30
SAIF,p9,0,3/2/2022 19:45
ORIENT,p1,0,3/2/2022 17:15
ORIENT,p2,0,3/2/2022 17:30
ORIENT,p3,0,3/2/2022 17:45
ORIENT,p4,0,3/2/2022 18:15
ORIENT,p5,0,3/2/2022 18:30
ORIENT,p6,0,3/2/2022 18:45
ORIENT,p7,0,3/2/2022 19:15
ORIENT,p8,0,3/2/2022 19:30
ORIENT,p9,0,3/2/2022 19:45
NISHAT.POWER,p1,0,3/2/2022 17:15
NISHAT.POWER,p2,0,3/2/2022 17:30
NISHAT.POWER,p3,0,3/2/2022 17:45
NISHAT.POWER,p4,0,3/2/2022 18:15
NISHAT.POWER,p5,0,3/2/2022 18:30
NISHAT.POWER,p6,0,3/2/2022 18:45
NISHAT.POWER,p7,0,3/2/2022 19:15
NISHAT.POWER,p8,0,3/2/2022 19:30
NISHAT.POWER,p9,0,3/2/2022 19:45
NISHAT.CHUNIAN,p1,196,3/2/2022 17:15
NISHAT.CHUNIAN,p2,196,3/2/2022 17:30
NISHAT.CHUNIAN,p3,196,3/2/2022 17:45
NISHAT.CHUNIAN,p4,90,3/2/2022 18:15
NISHAT.CHUNIAN,p5,68,3/2/2022 18:30
NISHAT.CHUNIAN,p6,68,3/2/2022 18:45
NISHAT.CHUNIAN,p7,68,3/2/2022 19:15
NISHAT.CHUNIAN,p8,68,3/2/2022 19:30
NISHAT.CHUNIAN,p9,16,3/2/2022 19:45
FOUNDATION,p1,168,3/2/2022 17:15
FOUNDATION,p2,168,3/2/2022 17:30
FOUNDATION,p3,168,3/2/2022 17:45
FOUNDATION,p4,167,3/2/2022 18:15
FOUNDATION,p5,168,3/2/2022 18:30
FOUNDATION,p6,169,3/2/2022 18:45
FOUNDATION,p7,168,3/2/2022 19:15
FOUNDATION,p8,169,3/2/2022 19:30
FOUNDATION,p9,169,3/2/2022 19:45
SAPPHIRE,p1,0,3/2/2022 17:15
SAPPHIRE,p2,0,3/2/2022 17:30
SAPPHIRE,p3,0,3/2/2022 17:45
SAPPHIRE,p4,0,3/2/2022 18:15
SAPPHIRE,p5,0,3/2/2022 18:30
SAPPHIRE,p6,0,3/2/2022 18:45
SAPPHIRE,p7,0,3/2/2022 19:15
SAPPHIRE,p8,0,3/2/2022 19:30
SAPPHIRE,p9,0,3/2/2022 19:45
LIBERTY.TECH.,p1,183,3/2/2022 17:15
LIBERTY.TECH.,p2,183,3/2/2022 17:30
LIBERTY.TECH.,p3,183,3/2/2022 17:45
LIBERTY.TECH.,p4,183,3/2/2022 18:15
LIBERTY.TECH.,p5,183,3/2/2022 18:30
LIBERTY.TECH.,p6,183,3/2/2022 18:45
LIBERTY.TECH.,p7,183,3/2/2022 19:15
LIBERTY.TECH.,p8,183,3/2/2022 19:30
LIBERTY.TECH.,p9,183,3/2/2022 19:45
HUBCO.NAROWAL,p1,156,3/2/2022 17:15
HUBCO.NAROWAL,p2,156,3/2/2022 17:30
HUBCO.NAROWAL,p3,156,3/2/2022 17:45
HUBCO.NAROWAL,p4,156,3/2/2022 18:15
HUBCO.NAROWAL,p5,156,3/2/2022 18:30
HUBCO.NAROWAL,p6,156,3/2/2022 18:45
HUBCO.NAROWAL,p7,156,3/2/2022 19:15
HUBCO.NAROWAL,p8,156,3/2/2022 19:30
HUBCO.NAROWAL,p9,156,3/2/2022 19:45
HALMORE,p1,0,3/2/2022 17:15
HALMORE,p2,0,3/2/2022 17:30
HALMORE,p3,0,3/2/2022 17:45
HALMORE,p4,0,3/2/2022 18:15
HALMORE,p5,0,3/2/2022 18:30
HALMORE,p6,0,3/2/2022 18:45
HALMORE,p7,0,3/2/2022 19:15
HALMORE,p8,0,3/2/2022 19:30
HALMORE,p9,0,3/2/2022 19:45
UCH.II,p1,375,3/2/2022 17:15
UCH.II,p2,375,3/2/2022 17:30
UCH.II,p3,377,3/2/2022 17:45
UCH.II,p4,378,3/2/2022 18:15
UCH.II,p5,376,3/2/2022 18:30
UCH.II,p6,376,3/2/2022 18:45
UCH.II,p7,376,3/2/2022 19:15
UCH.II,p8,376,3/2/2022 19:30
UCH.II,p9,377,3/2/2022 19:45
BHIKKI..QATPL.,p1,557,3/2/2022 17:15
BHIKKI..QATPL.,p2,556,3/2/2022 17:30
BHIKKI..QATPL.,p3,556,3/2/2022 17:45
BHIKKI..QATPL.,p4,550,3/2/2022 18:15
BHIKKI..QATPL.,p5,551,3/2/2022 18:30
BHIKKI..QATPL.,p6,551,3/2/2022 18:45
BHIKKI..QATPL.,p7,551,3/2/2022 19:15
BHIKKI..QATPL.,p8,558,3/2/2022 19:30
BHIKKI..QATPL.,p9,554,3/2/2022 19:45
SAHIWAL..COAL..HSR.,p1,1253,3/2/2022 17:15
SAHIWAL..COAL..HSR.,p2,1253,3/2/2022 17:30
SAHIWAL..COAL..HSR.,p3,1254,3/2/2022 17:45
SAHIWAL..COAL..HSR.,p4,1253,3/2/2022 18:15
SAHIWAL..COAL..HSR.,p5,1253,3/2/2022 18:30
SAHIWAL..COAL..HSR.,p6,1253,3/2/2022 18:45
SAHIWAL..COAL..HSR.,p7,1253,3/2/2022 19:15
SAHIWAL..COAL..HSR.,p8,1253,3/2/2022 19:30
SAHIWAL..COAL..HSR.,p9,1253,3/2/2022 19:45
H.B.SHAH,p1,854,3/2/2022 17:15
H.B.SHAH,p2,756,3/2/2022 17:30
H.B.SHAH,p3,754,3/2/2022 17:45
H.B.SHAH,p4,706,3/2/2022 18:15
H.B.SHAH,p5,850,3/2/2022 18:30
H.B.SHAH,p6,857,3/2/2022 18:45
H.B.SHAH,p7,854,3/2/2022 19:15
H.B.SHAH,p8,859,3/2/2022 19:30
H.B.SHAH,p9,855,3/2/2022 19:45
RESHMA.POWER,p1,0,3/2/2022 17:15
RESHMA.POWER,p2,0,3/2/2022 17:30
RESHMA.POWER,p3,0,3/2/2022 17:45
RESHMA.POWER,p4,0,3/2/2022 18:15
RESHMA.POWER,p5,0,3/2/2022 18:30
RESHMA.POWER,p6,0,3/2/2022 18:45
